time_stamp,word,frame,success,confidence,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU25_r,AU26_r,AU04_c,AU12_c,AU15_c,AU23_c,AU28_c,AU45_c
1,G:WELL,1,1,0.938506,0,0,0.666765,0,0,1.15769,0,0,0,0.51422,0,0.812807,2.18051,0,0,0,0,0,0,0
2,G:WELL,1,1,0.947124,0.511938,0,1.10327,0,0,1.3654,0,0,0,0,0,0,2.60342,0,0,0,0,0,0,0
3,G:WELL,1,1,0.815964,0.754448,0,1.24406,0,0,0.874674,0,0,0,0.642208,0,0.595845,2.12467,0,0,0,0,0,0,0
4,G:WELL,1,1,0.880465,0.510668,0,1.60092,0,0,0.568337,0,0.792822,0,0,0,1.05372,2.32708,0,0,0,0,0,0,0
5,G:WELL,1,1,0.928674,0,0,1.75844,0,0,0,0,0.741996,0,0.669953,0,0.925651,2.48705,0,0,0,0,0,0,0
11,G:WELL,1,1,0.945775,0,0,1.5423,0,0,0.707639,0,0.891129,0,0.647269,0,1.01598,2.24186,0,0,1,0,0,0,0
12,G:WELL,1,1,0.925521,0,0,1.68518,0,0,1.33637,0,0.692997,0,0.623566,0,1.01845,1.84263,0,1,0,0,0,0,1
13,G:WELL,1,1,0.777287,0,0,1.16848,0,0,1.39925,0,0.508915,0,0.661354,0,0,2.72267,0,0,0,0,0,0,1
14,G:WELL,1,1,0.774221,0,0.95121,0,0,0,0,0,0.676041,0,0,0,0,3.52579,0,0,0,0,0,0,0
15,G:WELL,1,1,0.930519,0,0.582731,0.986989,0,0,0,0,0,0.86977,1.29655,0,0,0,0,0,1,0,0,0,1
16,G:WELL,1,1,0.945889,0,0,0.710046,0,0,1.15207,0,0,0.913321,1.38884,0,0,0,0,0,1,0,0,0,1
17,G:WELL,1,1,0.960964,0,0,0,0,0,0.732354,0,0,1.07852,1.16447,0,0,0,0,0,1,0,0,0,1
18,G:WELL,1,1,0.957779,0,0,0.511656,0,0,1.04228,0,0,1.24493,1.48029,0,0,0,0,0,1,0,0,0,1
30,,1,1,0.945044,0,0,0,0,0,0.83239,0,0.568199,0.73681,0.926384,0,1.08984,0,0,0,1,0,0,0,0
31,,1,1,0.87219,0,0,0,0,0,0,0,0.646018,0,0.914243,0,1.43833,0,0,0,1,0,0,0,0
